銘柄コード,銘柄名称,商品分類,市場区分,業種,売買単位,東証上場日,東証上場廃止日
99480,アークス,株式,プライム,小売業,100,2004-03-04,
99500,ハチバン,株式,スタンダード,小売業,100,2013-07-16,
99550,ヨンキュウ,株式,スタンダード,卸売業,100,2013-07-16,
99560,バローホールディングス,株式,プライム,小売業,100,2003-12-02,
99590,アシードホールディングス,株式,スタンダード,小売業,100,2001-02-26,
99600,東テク,株式,プライム,卸売業,100,2013-07-16,
99620,ミスミグループ本社,株式,プライム,卸売業,100,1994-01-19,
99690,ショクブン,株式,スタンダード,小売業,100,2001-05-09,
99720,アルテック,株式,スタンダード,卸売業,100,1998-09-10,
99730,ＫＯＺＯホールディングス,株式,スタンダード,小売業,100,2013-07-16,
99740,ベルク,株式,プライム,小売業,100,2008-02-22,
99760,セキチュー,株式,スタンダード,小売業,100,2013-07-16,
99780,文教堂グループホールディングス,株式,スタンダード,小売業,100,2013-07-16,
99790,大庄,株式,スタンダード,小売業,100,1997-05-08,
99800,ＭＲＫホールディングス,株式,スタンダード,小売業,100,2013-07-16,
99820,タキヒヨー,株式,スタンダード,卸売業,100,2002-03-04,
99830,ファーストリテイリング,株式,プライム,小売業,100,1997-04-02,
99840,ソフトバンクグループ,株式,プライム,情報・通信業,100,1998-01-16,
99860,蔵王産業,株式,スタンダード,卸売業,100,2007-05-08,
99870,スズケン,株式,プライム,卸売業,100,1995-09-06,
99890,サンドラッグ,株式,プライム,小売業,100,1997-09-17,
99900,サックスバー　ホールディングス,株式,プライム,小売業,100,2006-04-17,
99910,ジェコス,株式,プライム,卸売業,100,1994-08-26,
99930,ヤマザワ,株式,スタンダード,小売業,100,2004-02-19,
99940,やまや,株式,スタンダード,小売業,100,2002-03-08,
99960,サトー商会,株式,スタンダード,卸売業,100,2013-07-16,
99970,ベルーナ,株式,プライム,小売業,100,1998-01-16,
67970,名古屋電機工業,株式,スタンダード,電気機器,100,2024-03-13,
53560,美濃窯業,株式,スタンダード,ガラス・土石製品,100,2024-03-18,
58680,ロココ,株式,スタンダード,サービス業,100,2023-12-20,
58690,早稲田学習研究会,株式,スタンダード,サービス業,100,2023-12-22,
56220,ワンビ,株式,TOKYO PRO Market,情報・通信業,100,2024-01-11,
20120,ｉシェアーズ　米国債０－３ヶ月　ＥＴＦ,ETF,その他,nan,10,2024-01-18,
20130,ｉシェアーズ　米国高配当株　ＥＴＦ,ETF,その他,nan,10,2024-01-18,
20140,ｉシェアーズ　米国連続増配株　ＥＴＦ,ETF,その他,nan,10,2024-01-18,
58930,ＲＡＶＩＰＡ,株式,TOKYO PRO Market,小売業,100,2024-01-25,
58710,ＳＯＬＩＺＥ　Ｈｏｌｄｉｎｇｓ,株式,スタンダード,サービス業,100,2024-02-07,
20150,ｉＦｒｅｅＥＴＦ　米国国債７－１０年（為替ヘッジなし）,ETF,その他,nan,1,2024-01-18,
20160,ｉＦｒｅｅＥＴＦ　米国国債７－１０年（為替ヘッジあり）,ETF,その他,nan,1,2024-01-18,
20170,ｉＦｒｅｅＥＴＦ　ＪＰＸプライム１５０,ETF,その他,nan,1,2024-01-24,
20180,グローバルＸ　ＵＳ　ＲＥＩＴ・トップ２０　ＥＴＦ,ETF,その他,nan,1,2024-01-31,
20190,グローバルＸ　米国優先証券　ＥＴＦ（隔月分配型）,ETF,その他,nan,1,2024-01-31,
